"onto"	"ID"	"Pvalue"	"OddsRatio"	"ExpCount"	"Count"	"Size"	"Term"	"genes2"
"11"	"MF"	"GO:0016408"	0.00751935961916734	6.11975308641975	1.41076683399688	5	10	"C-acyltransferase activity"	"ACAA2 SPTSSA GCAT SCP2 SPTLC2"
"12"	"MF"	"GO:0032934"	0.00776899940482342	3.50362896087803	3.10368703479315	8	22	"sterol binding"	"ERLIN2 GPR183 APOD NPC1 SCP2 SOAT1 CAV1 OSBPL2"
"13"	"MF"	"GO:0016491"	0.0078965969797821	1.45016978095313	47.1196122554959	63	334	"oxidoreductase activity"	"DHRS2 AKR1A1 CYB5A CYB561 CYBA CYP2J2 DHCR24 NQO1 FASN ALDH3B2 KDM4B AKR1B1 GPD1L FMO5 NNT ALOX15B G6PD DHRS7B ACAD8 GPX4 GPX7 GSTZ1 HGD HMGCR IDH1 LBR LDHB MAOA ME2 MGST2 MGST3 ALDH6A1 ASPH NQO2 PAM ACOX1 DCXR MSRB1 RETSAT PNPO FAR2 CYP26B1 AKR1B10 PTGIS PTGS2 MSMO1 SC5D SCD BLVRB PYCRL SORD AKR1D1 TM7SF2 TSTA3 UGDH SRD5A3 CYBRD1 ACOX2 ACOX3 AGPS KMO CBR1 GSTO1"
"14"	"MF"	"GO:0048037"	0.00833916044861694	1.71225856413994	20.1739657261554	31	143	"cofactor binding"	"ECI2 DDC DHCR24 ABAT FASN GPD1L FMO5 GCAT NNT G6PD ACAD8 HMGCR IDH1 LDHB MAOA ME2 ALDH6A1 ASNS ACOX1 PNPO SCP2 SOAT1 SORD TSTA3 TYMS UGDH ACOX2 ACOX3 AGPS KMO SPTLC2"
"15"	"BP"	"GO:0033540"	4.46056356195403e-05	37.3017456359102	0.976013805004314	6	7	"fatty acid beta-oxidation using acyl-CoA oxidase"	"CRAT ACOX1 CROT SCP2 ACOX2 ACOX3"
"16"	"BP"	"GO:0043436"	0.000127098657319122	1.5682469753859	73.6193270060397	103	528	"oxoacid metabolic process"	"LPCAT3 AKR1A1 ST3GAL6 ACAA2 ECI2 HPSE ERLIN2 SLC6A14 CLN3 CRABP1 CRAT CYB5A CYP2J2 DDC NQO1 ABAT SLC26A2 AKT1 FABP6 ACSL4 FAH FASN FGFR4 SEPHS2 GCAT QPRT NNT ALOX15B GAMT GATA3 GHR ACAD8 GNMT GLS GPX4 GSTZ1 DSE HGD IDH1 LDHB LPL ME2 MGST2 ALDH6A1 ASNS NPC1 ACOX1 ENPP1 PFKM PLA2G4A PLSCR1 ATP7A UGT2B28 CROT PDP1 DALRD3 ECHDC2 CSGALNACT2 ENOSF1 PRKAA1 CYP26B1 PSMD5 PTGIS PTGS2 ELOVL5 MSMO1 SC5D SCD SCP2 MCCC2 XYLT1 SLC1A3 SLC2A3 PYCRL SLC16A1 AACS AKR1D1 SREBF1 BSG TCF7L2 TYMS UGDH XBP1 ELOVL6 CARS2 NDNF PPCS ACSF2 ACOX2 ACOX3 OGT CHST1 KMO CAV1 IRS2 CBR1 PAPSS2 HACD1 GGTLC1 QKI GSTO1 PSMF1 GFPT2"
"17"	"BP"	"GO:0006695"	0.000182539222495143	4.27567030784508	4.46177739430544	13	32	"cholesterol biosynthetic process"	"ACAA2 ERLIN2 DHCR24 G6PD HMGCR HMGCS2 LBR PRKAA1 MSMO1 SC5D SREBF1 TM7SF2 GGPS1"
"18"	"BP"	"GO:0046427"	0.000182539222495143	4.27567030784508	4.46177739430544	13	32	"positive regulation of JAK-STAT cascade"	"CD300A ERBB4 AKR1B1 FYN GHR HCLS1 HDAC2 HPX IL18 KIT LYN NOTCH1 PRLR"
"19"	"BP"	"GO:0044255"	0.000260312961804634	1.66315108379165	48.6619372919951	72	353	"cellular lipid metabolic process"	"LPCAT3 CDS1 ST3GAL6 ACAA2 VAV3 ERLIN2 CLN3 PLIN2 CYP2J2 SPTSSA ERBB4 ACSL4 FASN GPD1L ALOX15B CERS6 GHR TNFRSF21 GPX4 STOML2 HMGCR HMGCS2 APOD KIT LYN MGST2 PIK3CA PIK3R1 PLAUR PLSCR1 NANS PDP1 RETSAT ECHDC2 PRKAA1 PIGV FAR2 PTGIS PTGS2 ELOVL5 MSMO1 SC5D SCD SLC25A1 AACS SOAT1 SREBF1 TBL1X XBP1 KDELC1 ELOVL6 CERS4 PIP4K2C ACSF2 ST6GALNAC5 PIK3R3 DGKD AGPS CAV1 CBR1 GPAA1 MTMR1 PEX11A INPP4B CPNE3 MTMR2 HACD1 GGTLC1 PGAP3 QKI GGPS1 SPTLC2"
"20"	"BP"	"GO:0055062"	0.000276673533373149	31.0460772104608	0.836583261432269	5	6	"phosphate ion homeostasis"	"FGFR4 ENPP1 SLC37A1 TFAP2B SLC9A3R1"
"21"	"BP"	"GO:1901615"	0.000352294976269656	1.82459891426319	31.2324417601381	50	224	"organic hydroxy compound metabolic process"	"LPCAT3 CDS1 CPQ ACAA2 ERLIN2 CLN3 CRAT DDC DHCR24 FABP5 FABP6 ALDH3B2 FGFR4 AKR1B1 G6PD GATA3 HDLBP HMGCR HMGCS2 HPRT1 KCNMA1 LBR LDHB MAOA NPC1 PLA2G4A PLTP ATP7A CROT RETSAT PNPO PRKAA1 AKR1B10 BCL2 MSMO1 SC5D SCP2 SOAT1 SORD AKR1D1 SREBF1 TM7SF2 SRD5A3 ACOX2 INPP4B SPHK1 MTMR2 GGPS1 SPTLC2 ZEB2"
"22"	"BP"	"GO:0043029"	0.000358057534947156	7.11428571428571	2.09145815358067	8	15	"T cell homeostasis"	"CORO1A TSC22D3 AKT1 PMAIP1 PPP2R3C BCL2 RPS6 CCNB2"
"23"	"BP"	"GO:1900102"	0.000375536197770829	Inf	0.557722174288179	4	4	"negative regulation of endoplasmic reticulum unfolded protein response"	"NCK1 TMBIM6 WFS1 XBP1"
"24"	"BP"	"GO:1900103"	0.000375536197770829	Inf	0.557722174288179	4	4	"positive regulation of endoplasmic reticulum unfolded protein response"	"AGR2 PIK3R1 PTPN2 XBP1"
"25"	"BP"	"GO:0042509"	0.000377493638205121	4.57482225010456	3.62519413287317	11	26	"regulation of tyrosine phosphorylation of STAT protein"	"ERBB4 FYN GHR HCLS1 HDAC2 HPX IL18 KIT LYN PTPN2 CAV1"
"26"	"BP"	"GO:0032787"	0.000383348736407107	1.86687678985986	28.1783661383034	46	204	"monocarboxylic acid metabolic process"	"ACAA2 ERLIN2 CYP2J2 FABP6 ACSL4 FASN FGFR4 ALOX15B GHR GPX4 DSE IDH1 LDHB LPL MGST2 NPC1 PFKM PLA2G4A UGT2B28 PDP1 ECHDC2 PRKAA1 PTGIS PTGS2 ELOVL5 MSMO1 SC5D SCD MCCC2 SLC1A3 SLC16A1 AACS SREBF1 BSG UGDH XBP1 ELOVL6 PPCS ACSF2 OGT KMO CAV1 CBR1 HACD1 GGTLC1 QKI"
"27"	"BP"	"GO:0023052"	0.000464360469576723	1.29355757033712	315.67075064711	359	2264	"signaling"	"AKT3 TANK TSPAN5 TSPAN3 ARL4C RASGRP1 OPTN TOB1 ADGRG2 FARP1 CDKN2A TRIM22 CDS1 NDC80 PGRMC2 ACAA2 VAV3 SLC9A6 AGR2 ARFGEF2 CDC42EP3 CENPF RRAGA HPSE MALT1 RAB40B WWP1 CACFD1 NUPL2 CORO1A CHI3L1 ERLIN2 DUSP10 ADCY7 CD300A CLU CLN3 CCR1 MAP3K8 CRABP1 CTSL CTSS CYBA DAP DAPK1 ADGRA3 DHCR24 NQO1 DIAPH2 DMD ABAT DPYSL2 JAG1 DUSP4 DUSP6 DUSP7 E2F3 GPR183 EGF AHR AIF1 SPRED2 ERBB2 ERBB4 AKT1 ESRRG EVI2A ALCAM EZH2 EFEMP1 FCGR1B FCGR2A FCGR2B FCN1 FGFR2 FGFR4 FOXC1 TNIK FOXM1 AKR1B1 GPD1L KANK1 PLCL2 ARHGEF9 PPP1R13B GPR161 CLEC5A LY96 ARFIP2 SH3BP4 RAB38 PRKD3 FJX1 ALOX15B FYN GABRP ASPM WWTR1 SAMHD1 CNTNAP2 LSM14A GAS1 GATA3 GHR CYFIP2 GJB1 TSPAN13 TNFRSF21 RND1 GLS PCLO GNA15 GNAI3 GNAS GPM6B GRK5 MKNK2 GRB7 NR3C1 CNIH4 CXCL1 GPSM2 MDFIC HCLS1 HDAC2 STOML2 HMGB2 HMGCR FOXA1 HPX IFI16 IFNAR2 APOD IGF2R IGFBP3 IL18 IRF1 ISG20 AR ITGB4 ITPR2 KCNJ2 RAB15 KCNMA1 KCNN4 KIT KRT8 KRT18 RHOB KRT19 STMN1 LASP1 LPL ARL3 LYN SMAD4 MAOA MBP MGST3 MICB MID1 MNDA MRC1 ASNS MSH2 ASPH MX2 MYC MYO6 ATF3 NCF2 NCK1 NOTCH1 NPC1 NRAS NUP88 SERPINE1 PAK2 CLEC4A GAL RNF138 ENPP1 PDPK1 STK26 PFKM SERPINE2 PIK3CA PIM1 PIK3R1 PKP1 PLAUR BCL11A PLSCR1 PMAIP1 ATP7A IL20RA TREM1 ZDHHC13 SNRK SPDL1 PAK1IP1 ZWILCH IFT57 SRGN PRKAA1 PRKACB CCDC88A PRKCA WWC3 PBK WSB2 GPRC5C MAPK10 EIF2AK2 PRLR CYP26B1 SMYD2 AKR1B10 PSMD5 PELI1 BAG1 PTGIS SPC25 PTGS2 PTK6 KIAA1324 PTPN2 PTPRE PXN PLEKHB1 RAB27A ACE2 BCL2 BCL2A1 RGS1 RGS10 SAV1 RPS6 RPS6KA3 RSU1 S100A4 S100A6 CCL2 CCL8 CXCL5 BIK PBLD SFRP1 SCG5 CLEC7A SMURF2 RBM15 DEPTOR STIL SKP2 SLC1A1 SLC1A3 SLC16A1 AACS DDRGK1 SOX10 SPTBN1 SREBF1 SRF BSG MAP3K7 TBL1X TCF7L2 BUB1 TMBIM6 BUB1B TFAP2B TFDP1 TIMP1 C1QBP TLE1 TLR1 TSPAN8 TP53BP2 C3AR1 TTK TYROBP UCP2 VSNL1 WFS1 XBP1 ZIC1 IL1R2 DEK SLC38A1 SPRY4 SEH1L NCOA3 FZD4 FZD7 CASP1 TCF7L1 HIST1H4H STK24 DYRK2 CUL4A OGT GPR65 PIK3R3 IFITM1 DGKD TSPYL5 CAV1 CAV2 ACTL6A RUNX3 IRS2 MARCO TNFRSF10B PEX11A INPP4B SPHK1 CPNE3 MTMR2 WASF1 CCNE1 NOL3 CLIC3 ATP6V0D1 SMC3 PDCD5 ARHGEF2 LRRFIP2 RPS6KA5 ITGB1BP1 CD14 CADPS2 SLC9A3R1 NMT2 CD86 MED17 GSTO1 AIM2 ARHGEF6 IL27RA SH3BP5 THEMIS2 PSMF1 MAGED1 ADAMTS1 ATP6V1G1 CD47 SOCS5 CEP57 ARHGAP32 CD151 DLGAP5 MELK TRIL CDC20 KIF14 NUP153 CDH1 CASP8AP2"
"28"	"BP"	"GO:0031349"	0.000490130568819585	1.79255549095896	31.6507333908542	50	227	"positive regulation of defense response"	"TANK RASGRP1 MALT1 MAP3K8 CTSL CTSS CYBA DUSP4 DUSP6 DUSP7 FCN1 CDK19 LY96 CADM1 FYN LSM14A HPX IFI16 IL18 IRF1 ITPR2 LYN NRAS SERPINE1 PAK2 CLEC4A PDPK1 PLSCR1 PRKACB PRKCA MAPK10 KLK7 PSMD5 PELI1 SMAGP PTGS2 RPS6KA3 CLEC7A MAP3K7 C1QBP TLR1 CAV1 MARCO RPS6KA5 CD14 CD86 AIM2 PSMF1 CD47 TRIL"
"29"	"BP"	"GO:0002221"	0.000554073898119822	2.26417413572343	14.2219154443486	27	102	"pattern recognition receptor signaling pathway"	"TANK MAP3K8 CTSL CTSS CYBA DUSP4 DUSP6 DUSP7 FCN1 LY96 LSM14A IRF1 LYN PDPK1 MAPK10 PELI1 RPS6KA3 CLEC7A MAP3K7 C1QBP TLR1 CAV1 MARCO RPS6KA5 CD14 CD86 TRIL"
"30"	"BP"	"GO:0002065"	0.000649570082786254	2.70529438875446	8.78412424503883	19	63	"columnar/cuboidal epithelial cell differentiation"	"AGR2 JAG1 FGFR2 SPDEF FOXA1 KCNMA1 KIT MYO6 NOTCH1 PDPK1 PTK6 RAB27A BCL2 SAV1 SOX10 KLF5 TYMS SLC9A3R1 ZEB2"
"31"	"BP"	"GO:0050864"	0.000718191413789827	2.87525199029624	7.52924935289042	17	54	"regulation of B cell activation"	"CDKN2A VAV3 CD300A GPR183 AHR TNFRSF21 LYN MNDA PPP2R3C PCID2 PELI1 BCL2 SAMSN1 SFRP1 XBP1 IRS2 IL27RA"
"32"	"BP"	"GO:0043067"	0.000901200922542998	1.41096302234693	99.6928386540121	128	715	"regulation of programmed cell death"	"DNAJB6 OPTN DHRS2 CDKN2A ACAA2 VAV3 MALT1 CORO1A CLU CLN3 MAP3K8 DAP DAPK1 DHCR24 NQO1 TSC22D3 DUSP6 AIF1 ERBB4 AKT1 FGFR2 FOXC1 TNIK CDK19 ARHGEF9 TRIM2 CLEC5A LY96 FYN G6PD SPDEF GAS1 GATA3 GRK5 NR3C1 HCLS1 HDAC2 HMGB2 HMGCR IGFBP3 AR KCNMA1 KIT KRT18 RHOB LYN MNDA ASNS MSH2 MYC ATF3 NCF2 NCK1 NOTCH1 SERPINE1 PAK2 GAL PDCD2 PDPK1 STK26 PIK3CA PIM1 PIK3R1 PIP PLAUR PMAIP1 ATP7A IL20RA IFT57 PRKAA1 PRKCA PCID2 EIF2AK2 PRLR PSMD5 BAG1 PTGIS PTGS2 KIAA1324 PTPN2 BCL2 BCL2A1 SAV1 RPS6 RPS6KA3 CCL2 BIK SFRP1 DEPTOR STIL SKP2 BNIP2 SOX10 MAP3K7 TCF7L2 BUB1 TMBIM6 TFAP2A TFAP2B TFDP1 TIMP1 C1QBP TLE1 TOP2A TP53BP2 UCP2 WFS1 XBP1 NDNF CASP1 STK24 CAV1 RUNX3 IRS2 TNFRSF10B TSC22D1 SPHK1 NOL3 PDCD5 ARHGEF2 CD14 SLC9A3R1 ARHGEF6 PSMF1 MAGED1 MELK KIF14 CASP8AP2"
"33"	"BP"	"GO:0046394"	0.0010287190692937	1.93544177390436	20.7751509922347	35	149	"carboxylic acid biosynthetic process"	"AKR1A1 ERLIN2 ABAT FASN FGFR4 SEPHS2 ALOX15B GAMT GLS DSE LPL MGST2 ASNS PLA2G4A PRKAA1 PTGIS PTGS2 ELOVL5 MSMO1 SC5D SCD SCP2 SLC1A3 PYCRL AKR1D1 UGDH XBP1 ELOVL6 ACOX2 KMO CBR1 HACD1 GGTLC1 QKI GSTO1"
"34"	"BP"	"GO:0016265"	0.00107888662812704	1.35495044438671	132.877308024159	164	953	"death"	"DNAJB6 OPTN DHRS2 SMNDC1 CDKN2A RTN3 ACAA2 VAV3 AGR2 RRAGA MALT1 CORO1A CHI3L1 CLU CLN3 MAP3K8 CTSL CTSV DAP DAPK1 DHCR24 NQO1 TSC22D3 DUSP6 AHR AIF1 EMP1 ERBB4 AKT1 FGFR2 FOXC1 TNIK CDK19 ARHGEF9 TRIM2 PPP1R13B CLEC5A LY96 CADM1 ALOX15B FYN G6PD SPDEF GAS1 GATA3 CKAP2 CYFIP2 TNFRSF21 GRK5 MKNK2 NR3C1 SLC25A24 HCLS1 HDAC2 HMGB2 HMGCR IFI16 IGFBP3 IRF1 AR KCNMA1 KIT KRT8 KRT18 RHOB LYN SMAD4 MNDA ASNS MSH2 MYC ATF3 NCF2 NCK1 NOTCH1 NPC1 SERPINE1 PAK2 GAL PDCD2 PDPK1 STK26 PIK3CA PIM1 PIK3R1 PIP PKP1 PLAGL1 PLAUR PLSCR1 PMAIP1 ATP7A IL20RA IFT57 SRGN PRKAA1 PRKCA PCID2 BCAP29 EIF2AK2 PRLR CYP26B1 PSMD5 BAG1 PTGIS PTGS2 KIAA1324 PTPN2 BCL2 BCL2A1 SAV1 RPS6 RPS6KA3 CCL2 BIK SFRP1 DEPTOR STIL SKP2 BNIP2 SOX10 MAP3K7 TCF7L2 BUB1 TMBIM6 BUB1B TFAP2A TFAP2B TFDP1 TIMP1 C1QBP TLE1 TOP2A TP53BP2 UCP2 WFS1 XBP1 NDNF CASP1 CASP6 STK24 DYRK2 CUL4A OGT GPR65 CAV1 RUNX3 IRS2 TNFRSF10B TSC22D1 SPHK1 NOL3 PDCD5 ARHGEF2 CD14 SLC9A3R1 AIM2 ARHGEF6 PSMF1 MAGED1 MELK KIF14 CDH1 CASP8AP2"
"35"	"BP"	"GO:1903706"	0.00109150377442037	1.90760656594244	21.611734253667	36	155	"regulation of hemopoiesis"	"RASGRP1 CDKN2A CCR1 JAG1 ERBB2 FOXC1 GATA3 GNAS SIGLEC15 TMEM176B HCLS1 HMGB2 IRF1 LYN MYC NOTCH1 PDCD2 PIK3R1 PPP2R3C TMEM176A PRKCA PCID2 EIF2AK2 CYP26B1 PTPN2 SFRP1 RBM15 TYROBP XBP1 HIST1H4H CUL4A OGT INPP4B AP3D1 CD86 SOCS5"
"36"	"BP"	"GO:0050891"	0.00117951461461552	4.15371762740184	3.48576358930112	10	25	"multicellular organismal water homeostasis"	"ADCY7 ABCA12 GNAS KRT16 PRKACB CYP26B1 SCNN1A SRF TFAP2B WFS1"
"37"	"BP"	"GO:0002757"	0.001194159938994	1.66151267944097	36.9490940465919	55	265	"immune response-activating signal transduction"	"TANK VAV3 MALT1 CD300A MAP3K8 CTSL CTSS CYBA DUSP4 DUSP6 DUSP7 FCGR2A FCN1 PLCL2 LY96 FYN LSM14A GATA3 CYFIP2 TNFRSF21 STOML2 IRF1 ITPR2 KCNN4 LYN MICB MNDA NCK1 NRAS PAK2 CLEC4A PDPK1 PIK3CA PIK3R1 PLSCR1 PRKACB MAPK10 PSMD5 PELI1 PTPN2 BCL2 RPS6KA3 CLEC7A MAP3K7 C1QBP TLR1 C3AR1 CAV1 MARCO RPS6KA5 CD14 CD86 THEMIS2 PSMF1 TRIL"
"38"	"BP"	"GO:0002694"	0.0012938409709694	1.72894447330624	30.5352890422778	47	219	"regulation of leukocyte activation"	"RASGRP1 CDKN2A VAV3 MALT1 CORO1A CD300A VSIG4 MAP3K8 GPR183 AHR AIF1 ERBB2 AKT1 FYN GATA3 TNFRSF21 IL18 IRF1 LYN MNDA NCK1 PAK2 GAL PDPK1 PIK3CA PIK3R1 PLSCR1 PPP2R3C PCID2 CYP26B1 PELI1 PTPN2 PTPRE BCL2 CCL2 SAMSN1 SFRP1 MAP3K7 XBP1 VTCN1 CAV1 IRS2 AP3D1 CD86 IL27RA CD47 SOCS5"
"39"	"BP"	"GO:0045088"	0.0012938409709694	1.72894447330624	30.5352890422778	47	219	"regulation of innate immune response"	"TANK RASGRP1 MALT1 DUSP10 MAP3K8 CTSL CTSS CYBA DUSP4 DUSP6 DUSP7 FCN1 LY96 CADM1 FYN SAMHD1 LSM14A HPX IFI16 IFNAR2 IRF1 ITPR2 LYN NRAS PAK2 CLEC4A PDPK1 PLSCR1 PRKACB MAPK10 PSMD5 PELI1 SMAGP PTPN2 RPS6KA3 CLEC7A MAP3K7 C1QBP TLR1 CAV1 MARCO RPS6KA5 CD14 CD86 AIM2 PSMF1 TRIL"
"40"	"BP"	"GO:0044711"	0.00138277212788325	1.37975958254403	107.08265746333	135	768	"single-organism biosynthetic process"	"LPCAT3 AKR1A1 CDS1 ST3GAL6 ACAA2 ERLIN2 ADCY7 DACH1 DCK SPTSSA DHCR24 ABAT SLC26A2 EGF AK4 AKT1 FABP5 ACSL4 FASN FGFR4 SEPHS2 AKR1B1 GPD1L GPR161 QPRT ALOX15B FUT3 CERS6 G6PD GAMT AMD1 GNMT GLS GNAI3 GNAS NR3C1 GSTZ1 DSE HDAC2 STOML2 HMGCR HMGCS2 HPRT1 IDH1 LBR LPL MGST2 MGST3 ASNS ATF3 PCK2 ENPP1 PIK3CA PIK3R1 PLA2G4A PLAUR PLSCR1 PLTP NANS PDP1 TIPIN PPP1R3D PNPO CSGALNACT2 PRKAA1 PIGV PRKACB FAR2 PRKCA PRLR C10orf2 PTGIS PTGS2 PTPN2 REV3L RFC4 ELOVL5 MSMO1 SC5D SCD SCP2 CCL2 XYLT1 MRPL9 SLC1A3 PYCRL SLC25A1 SORD AKR1D1 SREBF1 TCF7L2 C1QBP TK1 TM7SF2 TSTA3 TYMS UGDH WFS1 XBP1 SLBP ELOVL6 CERS4 SRD5A3 PPCS ST6GALNAC5 ACOX2 DYRK2 CUL4A OGT GPR65 PIK3R3 CHST1 AGPS KMO IRS2 CBR1 GPAA1 MTMR1 INPP4B SPHK1 CPNE3 MTMR2 AP3D1 PAPSS2 SMC3 HACD1 GGTLC1 PGAP3 QKI GSTO1 GGPS1 SPTLC2 ZEB2 GFPT2 HS3ST1"
"41"	"BP"	"GO:0002218"	0.00152500016481141	1.82936452860117	23.5637618636756	38	169	"activation of innate immune response"	"TANK MALT1 MAP3K8 CTSL CTSS CYBA DUSP4 DUSP6 DUSP7 FCN1 LY96 FYN LSM14A IFI16 IRF1 ITPR2 LYN NRAS PAK2 CLEC4A PDPK1 PRKACB MAPK10 PSMD5 PELI1 RPS6KA3 CLEC7A MAP3K7 C1QBP TLR1 CAV1 MARCO RPS6KA5 CD14 CD86 AIM2 PSMF1 TRIL"
"42"	"BP"	"GO:0048103"	0.00178210138888005	7.45436408977556	1.53373597929249	6	11	"somatic stem cell division"	"CDKN2A FGFR2 ASPM KIT NOTCH1 FZD7"
"43"	"BP"	"GO:0046165"	0.00178534180580848	2.36280049803659	10.1784296807593	20	73	"alcohol biosynthetic process"	"CDS1 ACAA2 ERLIN2 DHCR24 FABP5 AKR1B1 G6PD HMGCR HMGCS2 LBR PLA2G4A PRKAA1 MSMO1 SC5D SCP2 SREBF1 TM7SF2 SPHK1 GGPS1 SPTLC2"
"44"	"BP"	"GO:0006694"	0.00209075396102409	2.26764667221662	11.0150129421915	21	79	"steroid biosynthetic process"	"ACAA2 ERLIN2 DHCR24 FGFR4 AKR1B1 G6PD NR3C1 HMGCR HMGCS2 LBR PRKAA1 PRLR MSMO1 SC5D SCP2 AKR1D1 SREBF1 TM7SF2 SRD5A3 ACOX2 GGPS1"
"45"	"BP"	"GO:0060341"	0.00211967874977332	1.42520086844899	75.8502157031924	99	544	"regulation of cellular localization"	"RASGRP1 CDKN2A ACAA2 AGR2 CORO1A CD300A CPB2 CYBA DMD ABAT DPYSL2 EGF ERBB2 ERBB4 AKT1 FCN1 GPD1L KANK1 CLEC5A CADM1 ALOX15B FYN WWTR1 ABCA12 GAS1 GATA3 TNFRSF21 PCLO GNAS GPM6B MDFIC HCLS1 HMGCR APOD IL18 AR ITPR2 RAB15 KCNN4 IPO5 LYN SMAD4 ASPH MSN MX2 NEK2 NOTCH1 GAL PDPK1 PFKM PIK3R1 PMAIP1 TRPV6 SRGN PRKACB PRKCA PTGS2 RAB27A BCL2 SCP2 CCL2 PBLD SFRP1 SCG5 REEP1 SLC16A1 AACS SPTBN1 SREBF1 TCF7L2 TMBIM6 TFAP2B TFDP1 TLR1 UCP2 VSNL1 XBP1 ZIC1 VTCN1 FZD7 CASP1 DYRK2 CAV1 ACTL6A IRS2 INPP4B SPHK1 MTMR2 NOL3 PDCD5 ITGB1BP1 CD14 CADPS2 SLC9A3R1 CRIPT GSTO1 AIM2 NUP153 CDH1"
"46"	"BP"	"GO:0001676"	0.00216290910829534	3.00395993477754	5.57722174288179	13	40	"long-chain fatty acid metabolic process"	"CYP2J2 ACSL4 ALOX15B GPX4 ACOX1 PLA2G4A PTGIS PTGS2 ELOVL5 SCP2 ELOVL6 CBR1 QKI"
"47"	"BP"	"GO:0043065"	0.00220527703543158	1.57278914571088	42.1080241587576	60	302	"positive regulation of apoptotic process"	"CDKN2A VAV3 CLU DAP DAPK1 NQO1 DUSP6 AKT1 CDK19 ARHGEF9 LY96 SPDEF NR3C1 HMGCR IGFBP3 KCNMA1 RHOB LYN MNDA MYC ATF3 NCF2 NCK1 NOTCH1 PAK2 GAL PDCD2 PLAUR PMAIP1 IL20RA IFT57 PTGIS PTGS2 PTPN2 BCL2 SAV1 RPS6 BIK SFRP1 BUB1 TFAP2A TFAP2B TFDP1 C1QBP TOP2A TP53BP2 XBP1 CASP1 CAV1 RUNX3 TNFRSF10B TSC22D1 PDCD5 ARHGEF2 CD14 SLC9A3R1 ARHGEF6 MAGED1 MELK CASP8AP2"
"48"	"BP"	"GO:0042593"	0.00220829593234752	2.11957459039954	13.2459016393443	24	95	"glucose homeostasis"	"CPB2 CYBA AKT1 FGFR4 HMGCR FOXA1 PFKM PIK3CA PIK3R1 PRKAA1 C10orf2 PTPN2 RPS6 SLC16A1 AACS SRF TCF7L2 TFAP2B UCP2 VSNL1 WFS1 XBP1 OGT IRS2"
